Note: tabs by school no longer updated as NMSC now tracks interest / repayments,,,,,,,,,,,,,,,,,,,,,,,,,,CC,EE,,,,,,,,,,,,,,,
23,41,Rain Lily,FL," 2898 Bailey Road, Fernandina Beach, FL 32034 ",, NO , NO , NO , NO ,, NO , NO , YES , n/a , n/a , n/a , NO ,, No , YES ,, Yes ,,," $ 40,000 "," $ 40,000 ",2022,2022,6/3/2022,6/3/2029,3%,Start-up,,tania.castro@rainlilymontessori.org,tania.castro@rainlilymontessori.org,,,,,,,
,42,,,,, NO , NO ,,,, NO , NO ,,,,,,,,,,,,," $ 50,000 "," $ 50,000 ",2023,2022,8/25/2022,8/25/2029,3%,Start-up,,,,,,,,,,
,43,,,,, NO , NO ,,,, NO , NO ,,,,,,,,,,,,," $ 15,000 "," $ 15,000 ",2023,2022,10/20/2022,6/3/2029,3%,Start-up,,,,,,,,,,
24,44,Sea Lavender,NJ," 1101 Main St #16, Belmar, NJ 07719 ",, NO , YES , YES , NO ,, NO , NO , NA ,21%,22%,0%, NO ,, No , YES , YES , Yes ,,," $ 50,000 "," $ 50,000 ",2023,2022,8/22/2022,8/22/2029,3%,Start-up,,jamie@sealavendermontessori.org,,,,,,,,
25,45,Desert Peach,NV," 627 Sunnyside Dr. Reno, NV 89503 ",, YES , NO , NO , NO ,, NO , YES , YES , n/a , n/a , n/a , NO ,, No , NO , YES , Yes ,,," $ 55,000 "," $ 55,000 ",2023,2022,8/24/2022,8/24/2029,3%,Start-up,,tamra@desertpeachmontessori.org,kelly@desertpeachmontessori.org,,,,,,,
,46,,,,, YES , NO ,,,, NO , YES ,,,,,,,,,,,,," $ 20,000 "," $ 20,000 ",2023,2022,12/15/2022,8/24/2029,3%,Start-up,,,,,,,,,,
,47,,,,, YES , NO ,,,, NO , YES ,,,,,,,,,,,,," $ 25,000 "," $ 25,000 ",2023,2023,6/8/2023,8/24/2029,3%,Start-up,,,,,,,,,,
26,48,Spice Bush,PA," 827 Concord Rd, Glen Mills, PA 19342 ",, NO , NO , NO ,,, NO , NO , YES ,40%, n/a ,20%,,, No , NO , YES , Yes ,,," $ 40,000 "," $ 40,000 ",2023,2022,8/18/2022,8/25/2029,3%,Start-up,,kirsti@spicebushmontessori.org,leah@spicebushmontessori.org,,,,,,,
,49,,,,, NO , NO ,,,, NO , NO ,,,,,,,,,,,,," $ 35,000 "," $ 35,000 ",2023,2022,12/14/2022,8/25/2029,3%,Start-up,,,,,,,,,,
,50,,,,, NO , NO ,,,, NO , NO ,,,,,,,,,,,,," $ 20,000 "," $ 20,000 ",2024,2023,8/2/2023,8/25/2029,3%,Start-up,,,,,,,,,,
27,51,Orchid,RI," 245 Legris Avenue West Warwick, RI 02893 ",, YES , YES , NO , NO ,, NO , YES , YES ,26%, n/a ,38%, NO ,, No , NO ,, Yes ,,," $ 115,000 "," $ 115,000 ",2023,2022,9/19/2022,9/19/2029,3%,Start-up,,katie@orchidmontessori.org,,,,,,,,
,52,,,,,, YES ,,,,,,,,,,,,,,,,,," $ 30,000 "," $ 30,000 ",2025,2025,6/23/2025,6/23/1930,6%,Working capital,,,,,,,,,,
28,53,Trout Lily,OH," 1810 Courtland Ave Norwood, OH 45212 ",, YES , YES ,YES,YES,,YES, YES , NO ,44%,22%,4%,YES,, No , NO , YES , No ,,," $ 60,000 "," $ 60,000 ",2023,2022,9/22/2022,9/22/2029,3%,Start-up,,josh@azaleamontessori.org,,,,,,,,
,54,,,,, YES , YES ,,,,,,,,,,,,,,,,,," $ 40,000 "," $ 40,000 ",2025,2025,6/26/2025,6/26/2030,6%,Working capital,,Joshua Shanklin | josh@troutlilymontessori.org,Jason Waters | jason@troutlilymontessori.org ,,,,,,,
29,55,Dahlia SF Elementary,CA," 1245 4th Street, San Francisco CA 94158 ",, NO , NO , NO , NO ,, NO , NO , NO , n/a , n/a , n/a , NO ,, No , YES ,, Yes ,,," $ 200,000 "," $ 200,000 ",2023,2022,9/27/2022,9/27/2029,3%,Start-up,,lindsey@thedahliaschoolsf.org,david@thedahliaschoolsf.org,,,,,,,
30,56,Acacia,MN," 14119 Galaxie Avenue, Apple Valley, MN 55124 ",, NO , NO , NO , NO ,, NO , YES , NO ,83%,83%, n/a , NO ,, No , YES ,, Yes ,,," $ 100,000 "," $ 100,000 ",2023,2022,9/29/2022,9/29/2029,0%,Start-up,,abdilahi@acaciamontessori.org,farax@acaciamontessori.org,melissa@acaciamontessori.org,,,,,,
31,57,Blazing Stars,FL," 12212 Fort King Road, Dade City, FL 33525 ",, YES , YES , YES , YES ,, NO , YES , NO ,88%,38%,25%,YES,, No , YES , YES , Yes ,,," $ 85,000 "," $ 85,000 ",2023,2022,11/22/2022,11/22/2029,3%,Start-up,,kameeka@blazingstarsmontessori.org,latania@blazingstarsmontessori.org,,,,,,,
,58,,,,, YES , YES ,,,, NO , YES ,,,,,,,,,,,,," $ 15,000 "," $ 15,000 ",2023,2023,6/12/2023,11/22/2029,3%,Start-up,,,,,,,,,,
32,59,Honey Pot,NJ,"516 Main Street, East Orange, NJ 07018",, YES , YES , YES , YES ,, NO , YES , NA ,75%,100%,33%, NO ,, No , YES , YES , Yes ,,," $ 35,000 "," $ 35,000 ",2023,2023,2/17/2023,2/17/2030,3%,Start-up,Seed,deja@honeypotmontessori.org,taysiah@honeypotmontessori.org,,,,,,,
,67,,,,, YES , YES ,,,, NO , YES ,,,,,,,,,,,,," $ 70,000 "," $ 70,000 ",2023,2023,3/14/2023,2/17/2030,3%,Start-up,,,,,,,,,,
,60,,,,, YES , YES ,,,, NO , YES ,,,,,,,,,,,,," $ 20,000 "," $ 20,000 ",2023,2023,5/23/2023,2/17/2030,3%,Start-up,,,,,,,,,,
,61,,,,, YES , YES ,,,,,,,,,,,,,,,,,," $ 40,000 "," $ 40,000 ",2025,2025,6/12/2025,6/30/1930,6%,Working capital,,,,,,,,,,
33,62,Lilac,CA,"230 E 5th Ave. Escondido, CA 92025",, YES , YES , YES , YES ,, NO , YES , YES ,,,, NO ,, No , NO ,, Yes ,,," $ 60,000 "," $ 60,000 ",2023,2023,5/12/2023,5/12/2030,5%,Start-up,,brittany@lilacmontessori.org,heather@lilacmontessori.org,,,,,,,
,63,,,,, YES , YES ,,,, NO , YES ,,,,,,, No ,,,,,," $ 50,000 "," $ 50,000 ",2024,2023,10/11/2023,5/12/2030,5%,Start-up,,,,,,,,,,
,64,,,,, YES , YES ,,,, NO , YES ,,,,,,,,,,,,," $ 50,000 "," $ 50,000 ",2024,2024,2/7/2024,5/12/2030,5%,Start-up,,,,,,,,,,
34,65,Aster,MA,"883 Cambridge St, Cambridge, MA 02141",, YES , YES , YES , YES ,, YES , YES , NO ,,,, NO ,, No , YES ,, Yes ,,," $ 58,379 "," $ 41,879 ",2023,2023,6/23/2023,6/30/2026,0%,Refi,,kanan@astermontessori.org,angelina@astermontessori.org,,,,,,,
,66,,,,, YES , YES ,,,, YES , YES ,,,,,,,,,,,,," $ 137,500 "," $ 114,587 ",2023,2023,6/23/2023,12/31/2028,0%,Refi,,,,,,,,,,
35,67,Mount Juniper,CO,"1330 S. Potomac St. Aurora, CO 80012",, YES , YES , YES , YES ,YES, YES , YES , YES ,,,,YES,, No , YES ,, Yes ,, Yes ," $ 140,000 "," $ 140,000 ",2023,2023,6/22/2023,6/22/2030,5%,Start-Up,,martha@mountainjunipermontessori.org,michelle@mountainjunipermontessori.org,,,,,,,
36,68,Pinyon,UT,"515 E 100 S, Suite 100 Salt Lake City, UT 84111",, YES , YES ,,,, NO , YES , NO ,,,,YES,, No , NO ,, Yes ,,," $ 60,000 "," $ 60,000 ",2024,2023,11/9/23,11/9/2030,5%,Start-Up,Seed,chip@pinyonmontessori.org,margaret@pinyonmontessori.org,brandi@pinyonmontessori.org,,,,,,
37,69,Montessori EARTH,OH,"2344 Woodward Ave., Columbus, Ohio 43219",, YES , YES , YES , YES ,, YES , YES , NA ,,,, YES ,, No , YES ,, Yes ,,," $ 50,000 "," $ 50,000 ",2024,2024,1/12/24,1/12/31,5%,Start-Up,,jenn@montessoriearthschool.org,brooke@montessoriearthschool.org,,,,,,,
,70,,,,, YES , YES ,,,, YES , YES ,,,,,,,,,,,,," $ 25,000 "," $ 25,000 ",2025,2025,1/13/25,1/12/31,5%,Start-Up,,,,,,,,,,
38,71,Little Tree Community,CA,"1149 Powell Street, Hollister, CA 95023",, YES , Yes , YES , YES ,, YES , YES , NO ,,,,NO,, No , YES ,, Yes ,,," $ 105,000 "," $ 105,000 ",2024,2024,1/19/24,1/19/2031,5%,Start-Up,,sandie@littletreecommunity.org,makenzie@littletreecommunity.org,,,,,,,
,72,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 50,000 "," $ 50,000 ",2024,2024,3/5/24,1/19/2031,5%,Start-Up,,,,,,,,,,
,73,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 20,000 "," $ 20,000 ",2024,2024,4/17/24,1/19/2031,5%,Start-Up,,,,,,,,,,
,74,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 15,000 ",,2025,2024,7/23/24,1/19/2031,5%,Start-Up,,,,,,,,,,
39,75,Sadula Rose,NY,"1525 Michigan Avenue, Buffalo, NY 14209",, YES , Yes , YES , YES ,, YES , YES , YES ,,,, YES ,, No , YES ,, Yes ,,," $ 50,000 "," $ 50,000 ",2024,2024,2/1/24,2/1/2031,5%,Start-Up,Seed,angelica@sadularosemontessori.org,mariyama@sadularosemontessori.org,,,,,,,
,76,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 40,000 "," $ 40,000 ",2024,2024,6/19/24,2/1/2031,5%,Start-Up,,angelica@sadularosemontessori.org,mariyama@sadularosemontessori.org,,,,,,,
,77,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 30,000 ",,2025,2024,8/20/24,2/1/2031,5%,Start-Up,,,,,,,,,,
40,78,Poinciana,PA,"6144 Germantown Avenue, Philadelphia, PA",, YES , Yes , YES , NO ,, YES , YES , NO ,,,, NO ,, YES , YES ,, Yes ,,," $ 70,000 "," $ 70,000 ",2024,2024,2/27/24,2/27/2031,5%,Start-Up,,imani@poincianamontessori.org,kareem@poincianamontessori.org,,,,,,,
41,79,The Girasol School,PR,"Carr 659 Km. 1, Sec. Santa Rosa, Dorado, PR 00646",, YES , Yes , YES , YES ,, YES , YES , YES ,,,,YES,, YES , YES ,, Yes ,,," $ 70,000 "," $ 70,000 ",2024,2024,4/11/24,4/11/2031,5%,Start-Up,,sammie@thegirasolschool.org,patricia@thegirasolschool.org,,,,,,,
42,80,Hollyhock,AR,"616 South 17th Street, Fort Smith, Arkansas 72901",, YES , Yes , YES , YES ,, YES , YES , YES ,,,,YES,, No , YES ,, Yes ,,," $ 60,000 "," $ 60,000 ",2024,2024,5/1/24,5/1/2031,5%,Start-Up,,erin@hollyhockmontessori.org,ariana@hollyhockmontessori.org,,,,,,,
,81,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 45,000 "," $ 45,000 ",2024,2024,5/29/24,5/1/2031,5%,Start-Up,,erin@hollyhockmontessori.org,ariana@hollyhockmontessori.org,,,,,,,
,82,,,,, YES , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 15,000 ",,2025,2024,12/18/24,5/1/2031,5%,Start-Up,,,,,,,,,,
43,83,Meadow Rue,CO,"1300 S Potomac St. Suite 146 Aurora, CO",, Yes , Yes , YES , YES ,YES, YES , YES , YES ,,,, NO ,, No , YES ,, Yes ,, Yes ," $ 115,000 "," $ 115,000 ",2024,2024,6/20/24,6/20/2031,5%,Start-Up - Facility,,megan@meadowruemontessori.org,dayana@meadowruemontessori.org,,,,,,,
,84,,,,, Yes , Yes ,,,YES, YES , YES ,,,,,,,,,,,, Yes ," $ 25,000 "," $ 25,000 ",2024,2024,6/20/24,6/20/2031,5%,Start-Up - WC,,megan@meadowruemontessori.org,,,,,,,,
44,85,Harvest,DC,"5200 Foote St NE Washington, DC 20019",, Yes , Yes , YES , YES ,, YES , YES , NA ,,,, NO ,, No , YES ,, Yes ,,," $ 40,000 "," $ 40,000 ",2024,2024,6/24/24,6/24/2031,5%,Start-Up,,tova@theschoolofharvest.org,cierra@theschoolofharvest.org,,,,,,,
,86,,,,, Yes , Yes ,,,, YES , YES ,,,,,,,,,,,,," $ 30,000 "," $ 30,000 ",2024,2024,6/24/24,6/24/2031,5%,Start-Up,,,,,,,,,,
,87,,,,,,,,,,,,,,,,,,,,,,,," $ 15,000 "," $ 15,000 ",2025,2025,6/20/25,6/24/2031,5%,Start-Up,,,,,,,,,,
45,88,Protea,FL,"9031 Pembroke Rd, Pembroke Pines, FL, 33025",, Yes , Yes , YES , NO ,, YES , YES , YES ,,,,YES,, No , YES ,, Yes ,,," $ 50,000 "," $ 50,000 ",2024,2024,6/27/24,6/27/2031,5%,Start-Up,,yoliswa@proteamontessori.org,anne@proteamontessori.org,,,,,,,
46,89,Indigo,MD,"3449 Falls Road, Baltimore MD 21211",, NO , NO , NO ,,, NO , NO , NO ,,,, NO ,, YES , NO ,, Yes ,,," $ 40,000 ",,2025,2024,8/23/24,8/23/2031,8%,Start-Up,,sarah@indigomontessori.org,kate@indigomontessori.org,,,,,,,
47,90,Bergamot,NY,"8403 Rochester Road Gasport, New York 14067",, NO , NO , NO ,,, NO , NO , YES ,,,, NO ,, No , YES ,, Yes ,,," $ 50,000 ",,2025,2024,8/26/24,8/26/2031,8%,Start-Up,,brandi@bergamotmontessori.org,Rachel@bergamotmontessori.org,,,,,,,
48,91,Azalea Primary,OH,"1759 Mills Ave, Norwood, OH 45212",, YES , YES , YES ,,, YES , YES , NO ,,,,YES,, No , NO ,, Yes ,,," $ 20,000 ",,2025,2024,9/12/24,9/12/2028,6%,Working capital,,jeana@azaleamontessori.org,amy@azaleamontessori.org,,,,,,,
49,92,Sankofa,CT,"495 Blake Street, New Haven, CT 06515",, YES , YES , YES ,,, YES , YES , NO ,,,, NO ,, No , YES ,, Yes ,,," $ 25,000 ",,2025,2024,9/19/24,9/19/2031,6%,Start-Up,,sankofamontessori@gmail.com,,,,,,,,
,93,,,,, YES , YES ,,,, YES , YES ,,,,,,,,,,,,," $ 25,000 ",,2025,2024,12/18/24,9/19/31,6%,Start-Up,,,,,,,,,,
50,94,Sage Montessori of Nashville,TN,"631 2nd Ave S Nashville, TN 37210",, YES , NO , NO ,,, NO , NO , NO ,,,, NO ,, No , No ,, Yes ,,," $ 50,000 ",,2025,2024,10/28/24,10/28/31,8%,Start-Up,,stephanie@sagemontessoriofnashville.org,margaret@sagemontessoriofnashville.org,,,,,,,
,95,,,,,, NO ,,,,,,,,,,,,,,,,,," $ 30,000 ",,2025,2025,3/7/24,10/28/31,8%,Start-Up,,,,,,,,,,
51,96,Mountain Laurel,PA,"5261 Ridge Avenue Philadelphia, PA 19128",,,NO, NO ,,,,,,,,,,,YES,,, Yes ,,," $ 50,000 ",,2025,2025,3/5/25,3/5/32,8%,Start-Up,,alli@mtnlmontessori.org,caitlin@mtnlmontessori.org,,,,,,,
,97,,,,,,NO,,,,,,,,,,,,,,,,,," $ 45,000 ",,2025,2025,5/14/25,3/5/32,8%,Start-Up,,,,,,,,,,
52,98,NY Charter,NY,"1332 Fulton Avenue, Bronx, NY 10456",,,YES,YES,,YES,YES,YES,,,,,,,YES,,, Yes ,, Yes ," $ 80,000 ",,2025,2025,4/10/25,4/10/29,6%,Expansion,,,,,,,,,,
53,99,Sunflower,CO,"562 Sable Blvd, Suite 105, Aurora, CO 80011",,,YES,YES,,YES,YES,YES,,,,,,,,,, Yes ,, Yes ," $ 125,000 ",,2025,2025,5/5/25,5/5/32,6%,Start-Up,,emely@thesunflowerschoolco.org,zoey@thesunflowerschoolco.org,,,,,,,
,100,,,,,,YES,YES,,YES,,,,,,,,,,,,,, Yes ," $ 75,000 "," $ 75,000 ",2025,2025,6/19/25,5/5/32,6%,Start-Up,,,,,,,,,,
