recId,Table Name,Field Name,Field Type,Field Options
recNtoGdPsLS5n9Gf,Schools,Grants (WF),multipleRecordLinks,Grants
recEiUk6YcJ4eAYQS,Schools,School notes,multipleRecordLinks,School notes
reckKvW5VnP0vV3Ui,Schools,Number of classrooms,number,
recYe54BZ8ufOgOak,Schools,School Status,singleSelect,"Emerging, Open, Paused, Closing, Permanently Closed, Disaffiliating, Disaffiliated, Placeholder"
rec1aXubX9tHRLNoi,Schools,Created,createdTime,
recsJaIvJ0p96QRa8,Schools,Created By,createdBy,
recyvweNvgb6XaECM,Schools,Last Modified,lastModifiedTime,
reclSOsT9V12XX3y1,Schools,Last Modified By,lastModifiedBy,
recpWXfAh5A5Rudnq,Schools,Pod,singleSelect,"Mass: Massbridge, Mass: Broadway, Mass: San Lorenzo, Mid-Atlantic: Philadelphia, Multistate 1, CA Pod, PR Pod, Under discussion, Charter Pod, OceanBay Pod, MidAtlantic Pod, Fern Pod , CO Charter Pod"
reccNRnIVlLYZShkX,Schools,Short Name,singleLineText,
recdQskkjuv4yFuCv,Schools,Family survey - schools,multipleRecordLinks,Family survey - school inputs
rec1Cc04bBpMvt5Et,Schools,Family survey non-TC data 2021-22,multipleRecordLinks,Family survey non-TC data 2021-22
recj12XbVRcVpMKaa,Schools,Enrollment at Full Capacity,number,
recg5bQc1NUDMHXLL,Schools,school_id,formula,RECORD_ID()
recRlP7L0Dd2FWQ4R,Schools,Google Workspace Org Unit Path,singleLineText,
recNGfsEIRniwBGZY,Schools,Loan (from Loans - Issue Method),multipleLookupValues,
recFHc9liUG5iR9eb,Schools,Family Survey,multipleRecordLinks,Family Survey
recYK71hnbMs2NEqb,Schools,# of Students,multipleLookupValues,
recsfzXj3nJbFbnCD,Schools,# of forms sent,multipleLookupValues,
recvqjcyLlDWbOPJt,Schools,Low Income,multipleLookupValues,
reckfQ6TxLnaBXpvf,Schools,Medium Income,multipleLookupValues,
recybo0w58rbioX8E,Schools,FRL,multipleLookupValues,
rech7S9foKgsZG1hX,Schools,% of Asian American students,multipleLookupValues,
recUnX4O2d7uF3XX6,Schools,% of African American students,multipleLookupValues,
rec67ePyu5NuSavSH,Schools,global majority,multipleLookupValues,
recv7wzZdGhIjQgTR,Schools,Pacific Islander (from Family Survey),multipleLookupValues,
rec8xXH0OWkAzXx3V,Schools,Native American (from Family Survey),multipleLookupValues,
recCGPTdUDgNUceK7,Schools,White (from Family Survey),multipleLookupValues,
rec5LR0c0jTyumOKq,Schools,Middle Eastern,multipleLookupValues,
recRF0NoA4WRMEdPc,Schools,Latinx (from Family Survey),multipleLookupValues,
rec95AJJRWjNw4xWl,Schools,High Income (from Family Survey),multipleLookupValues,
recFVmiuHSuaEqCv4,Schools,Flexible Tuition Model,checkbox,
recYpA3ytTZ85wIzF,Schools,EIN,singleLineText,
recRVDPuhmMIuSKMJ,Schools,Guide email,multipleLookupValues,
reckrWsm7AnlgQkzK,Schools,Primary Contact Email,multipleLookupValues,
rectZIzP3xUnMcVAS,Schools,Agreement Version ,singleSelect,"Affiliation Agreement, Network Membership Agreement "
recl8o3BgemIuGVeS,Schools,About,multilineText,
recGIeXNRc2goenGu,Schools,About Spanish,multilineText,
rectzi5kac10KH78U,Schools,Hero Image Url,url,
rec0rNZxbgucdnfWr,Schools,Hero Image 2 Url,url,
recS2tIUbXqOD8ArT,Schools,Narrative,richText,
recJ35CLNckfyiStf,Schools,Platform School,multipleRecordLinks,Platform School
recMQNlR7Qa2pnMUb,Schools,Budget Link,url,
recf8zVR4O3vpmz5I,Schools,Bookkeeper / Accountant,singleSelect,"Staci Simon, Unknown, Josh's dad (Mr. Shanklin)"
rec2Po3zMAfJimgin,Schools,Active Pod Member,singleSelect,"Yes, regular attendee/role holder, Somewhat, does not make all meetings, Does not attend, Not in a pod"
recjSK3nYCtu6YOc9,Schools,Risk Factors,multipleSelects,"1 TL, TL is only admin, not teacher, Weak board, Financially unstable, Compliance concern (990, licensor, authorizor), Low enrollment, Not engaged, No risk factors!"
recX4iyOBHiKxYYMS,Schools,Watchlist,multipleSelects,"Multiple Risk Factors, In Current Crisis, Thinking about leaving the network, In Transition, 1st Year"
reckxt85oiuV6iHlq,Schools,Program Focus,multipleSelects,"Inclusion , Lab School, Nature Based, Dual Language, Conversion into WF"
recL32If8nOLeJWD6,Schools,Loan payments,multipleRecordLinks,Loan payments
rec7L02kqMDtZkHka,Schools,Loan Report Name,singleLineText,
rec6INrZvkQB79pK0,Schools,990s,multipleRecordLinks,990s
recJe4VCuxXFLwOYQ,Schools,Current FY end,singleSelect,"6/30, 7/31, 8/31, 12/31"
recCQcyGkectPTGGe,Schools,Incorporation Date,date,
recBIJRWksetqRvk2,Schools,GuideStar Listing Requested?,checkbox,
rec4caV0nvKJWtzrj,Schools,Group exemption status,singleSelect,"Applying, Active, Issues, Withdrawn, Other - Not part of exemption"
recLjSMh4INEGktE9,Schools,Date received group exemption,date,
recSOe969h5FWvMbg,Schools,Legal Name,singleLineText,
recMnwG7fV9UZSi7L,Schools,School governance documents,multipleRecordLinks,Governance docs
recdwYAI7OrhTtPGI,Schools,Nondiscrimination Policy on Application,checkbox,
recP4lu4QN509Tx9L,Schools,Nondiscrimination Policy on Website,checkbox,
recPknpdaUeq6eze1,Schools,Is there a 2022 990?,count,
recWgcx7QM82baHGg,Schools,2022 990 present?,formula,"IF({Is there a 2022 990?}=1,""YES"",""NO"")"
rec54HF9tUq92wXNM,Schools,Date withdrawn from Group Exemption,date,
recXYF1uRt69ANkko,Schools,School Contact Emails,multipleLookupValues,
recbpqvXBq0JKI0zH,Schools,Race & Ethnicity (from Educator) (via Educators x Schools),multipleLookupValues,
recizFPuErOMvcQlM,Schools,990 attachment,multipleLookupValues,
recUOmNcRrBQEMaum,Schools,Founding Documents,multipleLookupValues,
reccs4wFgsLFuBL8s,Schools,Lease,multipleLookupValues,
recHZc1LwhKpFkAat,Schools,Lease End Date,multipleLookupValues,
recIn3ZxZPo5d3rNm,Schools,Public funding sources,multipleRecordLinks,Public funding
recQIiN8ghYaCzvJu,Schools,Action steps,multipleRecordLinks,Action steps
rec5UWKulOIJLebmu,Schools,Membership fee records,singleLineText,
recI3A6Adg5aw0CAB,Schools,Cumulative membership fees paid,rollup,
recLJtBdkT9Iq0ALl,Schools,Cumulative membership fees outstanding,rollup,
recsiJh1LN6lPsyjB,Schools,Current year fee,multipleLookupValues,
reck6x2DABBIudIKj,Schools,QBO School Codes,multipleRecordLinks,QBO School Codes
rec3ZdgUfu38KJ7dU,Schools,Visioning album,multipleAttachments,
rec9ZvLLXanIZrCX0,Schools,Visioning album complete,checkbox,
recfvZWJPBXbYptsY,Schools,Building4Good Firm & Attorney,singleLineText,
recijYWwK5ZsVEHE6,Schools,SSJ - Building4Good Status,singleSelect,"Matched, Requested, Upcoming"
rec2G5XDSDvV1bI2t,Schools,SSJ - SSJ Tool,singleSelect,"Google Slides , My Wildflower - Sensible Default, Charter Slides, Platform Pilot "
recdexDtdXfRLYSAf,Schools,SSJ - Proj Open School Year,formula,"IF(
  {SSJ - Projected Open},
  IF(
    MONTH({SSJ - Projected Open}) < 7,
    YEAR({SSJ - Projected Open}),
    YEAR({SSJ - Projected Open}) + 1
  ),
  {SSJ - Proj Open School Year - Backup}
)"
rec0zdFl42UxLMwM5,Schools,SSJ - Date shared with N4G (from SSJ Process Details),date,
recnVfWV8rMLbDMhr,Schools,SSJ - Proj Open School Year - Backup,singleLineText,
rec1YgzQCd0iD0Zbq,Schools,SSJ - Gap in Funding,singleLineText,
recetL2I7OWdQkqIj,Schools,SSJ - Amount raised,singleLineText,
recwvSFVqXdmNHY2Y,Schools,SSJ - Loan approved amt,singleLineText,
recfSGi4v6EvGtSNo,Schools,SSJ - Loan eligibility,singleLineText,
recmUgX6npbxv8Uil,Schools,SSJ - Total Startup Funding Needed,singleLineText,
recYc8LSywU8NKEja,Schools,SSJ - Does the school have a viable pathway to funding?,singleSelect,"No, startup funding unlikely, Yes, full funding likely, Maybe, prospects identified but not secured"
recpPAMpIAM1zNnCU,Schools,SSJ - Fundraising narrative,multilineText,
receK502n2uHw10Dp,Schools,SSJ - Advice Givers (Partners),multipleRecordLinks,Partners
recUfNyrVhLKc3H2P,Schools,SSJ - Advice Givers (TLs),multipleRecordLinks,Educators
recOWnoJGUhirxCHr,Schools,SSJ - Is the school planning to apply for internal Wildflower funding?,singleSelect,"No, Yes, loan, Yes, loan; Yes, grant, Yes, grant, Yes, grant; Yes, loan"
recDRKxRNFA6lQjlu,Schools,SSJ - Is the budget at a stage that will allow the ETL(s) to take their next steps?,singleSelect,"Yes, Unsure, No"
recTzGbRh2x4yDY5p,Schools,SSJ - Is the team on track for their enrollment goals?,singleSelect,"Yes (tuition published, plan enacted, community engagement full swing), No (process unclear/unpublished, limited/no family engagement), Maybe (process is ready, no prospective students)"
recRK18tZW70qqoRQ,Schools,SSJ - Cohort Status,singleSelect,"Switched Ops Guide Supports, Returning for Later Cohort, Transitioned to Charter Application Supports, Left Cohort"
recxI0LETA6V7iA0S,Schools,SSJ - Facility,singleSelect,"Signed lease, Identified prospect(s), Purchased building, Unsure, Searching, intending to buy, Searching, intending to rent"
recfd2uf46qtkJ7N7,Schools,SSJ - Board development,singleSelect,"No board, Board is forming, 1-2 mtgs, Board is developed and engaged, 3+ mtgs"
recglqJhiGGK773h4,Schools,SSJ - Has the ETL identified a partner?,singleSelect,"Partnership established, No partner, Partnership In development "
recGeXJoCeDzwuq8k,Schools,SSJ - Name Reserved,singleSelect,"reserved, unknown"
rec7TMcfzlE3x6Met,Schools,SSJ - What is the next big decision or action this school is working on?,multilineText,
recIZ3ZZbDh0Biuyb,Schools,SSJ - Readiness to Open Rating,singleSelect,"High, Low, Medium"
recW3adNfTJpClbQ8,Schools,SSJ Stage,singleSelect,"Visioning, Planning, Startup, Complete, Year 1"
recQneD9iEtUhbyN9,Schools,Entered Startup Date,date,
rec5SmS1MFgcgdAwS,Schools,Entered Planning Date,date,
recD5GNJAEBmzNCsz,Schools,Entered Visioning Date,date,
recNJr6I5sluZjzhw,Schools,SSJ - Original Projected Open Date,date,
rec2re9MTLSLToZO7,Schools,SSJ - Target City,singleLineText,
reciWPO8n0nadoUev,Schools,SSJ - Ops Guide Support Track,multipleSelects,"1:1 Support, 2024-2025 Blooms Cohort, 2024-2025 Blooms Cohort, 1:1 Support, 1:1 Support, 2024-2025 Blooms Cohort, 2025 January Blooms Cohort"
recKJxkgfs37A2QEw,Schools,SSJ - Projected Open,date,
rec5QuYRPt1hjk1Eg,Schools,Current TLs first names,rollup,
recaYHp9vAVtnLPGI,Schools,Count of Active Mailing Addresses,count,
reccmFVGD2vE4MMNU,Schools,Count of Active Physical Addresses,count,
rec2xYYEfEioYShB3,Schools,Current Physical Address,multipleLookupValues,
recpGLMBPMreZu0l8,Schools,Errors,multipleSelects,"No mailing address, More than one active mailing address, More than one active physical address, No active TLs, Multiple active guides, Emerging with no active guide, Duplicate"
recjutRnyWyq3Km6D,Schools,Bill.com account,singleLineText,
recNUSg5VqZnTBLMh,Schools,Current Physical Address - City,multipleLookupValues,
recyrUVNr4W0lg1gv,Schools,Current Physical Address - State,multipleLookupValues,
reciEku6rf9RklBfs,Schools,SSJ - Target State,singleLineText,
rec9rtRSasCZamdX0,Schools,Emails,multipleRecordLinks,Emails
recWMx5QNj8mhnVwS,Schools,Board Service,multipleRecordLinks,Board Service
recyV4vpYCbGzZ5Gy,Schools,Last Modified Trigger,formula,"IF(
  LAST_MODIFIED_TIME(),
  DATETIME_DIFF(NOW(), LAST_MODIFIED_TIME(), 'minutes'),
  DATETIME_DIFF(NOW(), CREATED_TIME(), 'minutes')
)"
rec15GlO3LQq1lVyv,Schools,Dedupe school with,multilineText,
recOkKVlMbyIQAtN3,Schools,Create stint for existing educator at school,formula,"CONCATENATE(""https://airtable.com/appJBT9a4f3b7hWQ2/pagQrgNxFhMOkDZzm/form?"",
  ""prefill_School="",RECORD_ID())"
recj8Ehz3z7K3X0Ay,Schools,Open grants link,formula,"CONCATENATE(""https://airtable.com/appJBT9a4f3b7hWQ2/pagQyANxuMy0xQpou?H3GgK=b%3AWzAsWyJCTjZqNyIsMTYsbnVsbCwiSjd3RXYiXV0&nCux5="",RECORD_ID())"
recvZLeBzHfQtkJfq,Schools,Open school link,formula,"""https://airtable.com/appJBT9a4f3b7hWQ2/pagO78HBmjiWggic4?3gUdY=b%3AWzAsWyJpM0g1SCIsOSxbInNlbGkxbTFrcEdud2lQb1lQIiwic2VsV2xHaFo5UHZudFdhT3YiXSwidEx6SmMiXV0&PQh1B="" & RECORD_ID()"
recH8zubhenkDhz3z,Schools,Open school interface,button,
recsGatV9DHvf8yDS,Schools,Open grants interface,button,
rec1ltZ7cJ8pMmjrR,Schools,Open S.S. details,formula,"""https://airtable.com/appJBT9a4f3b7hWQ2/pagw3oHrCDGsscTwQ?3gUdY=b%3AWzAsWyJpM0g1SCIsOSxbInNlbGkxbTFrcEdud2lQb1lQIiwic2VsV2xHaFo5UHZudFdhT3YiXSwidEx6SmMiXV0&PQh1B=""&RECORD_ID()"
recDViqvtOgKhVDZY,Schools,Open SSJ details,formula,"""https://airtable.com/appJBT9a4f3b7hWQ2/pagxrE0Nai3ELMkbf/edit?3gUdY=b%3AWzAsWyJpM0g1SCIsOSxbInNlbGkxbTFrcEdud2lQb1lQIiwic2VsV2xHaFo5UHZudFdhT3YiXSwidEx6SmMiXV0&PQh1B=""&RECORD_ID()"
recmyGvG2aIfpXJ6L,Schools,CountofActiveGuides,count,
recbPdOyPvpP1jf6U,Schools,Meetings,multipleRecordLinks,Meetings
receJJuvtIcwLwdmq,Schools,Membership termination steps,multipleRecordLinks,Membership termination steps
recfV1of04BBHOC0Q,Schools,Membership termination letter,multipleAttachments,
recTnB8IwWt56tWKx,Schools,Create termination record,formula,"CONCATENATE(
  ""https://airtable.com/appJBT9a4f3b7hWQ2/pagFw2sI720rHXTLj/form?prefill_School="",
  {school_id},
  ""&prefill_Termination%20trigger%20date="",
  DATETIME_FORMAT(TODAY(), 'YYYY-MM-DD'),
  ""&prefill_GSuite%20shutoff%20target%20date="",
  DATETIME_FORMAT(DATEADD(TODAY(), 21, 'days'), 'YYYY-MM-DD'),
  ""&prefill_Shut%20off%20TC%20target%20date="",
  DATETIME_FORMAT(TODAY(), 'YYYY-MM-DD'),
  ""&prefill_List%20serve%20removal%20target%20date="",
  DATETIME_FORMAT(TODAY(), 'YYYY-MM-DD'),
  ""&prefill_Take%20down%20website%20target%20date="",
  DATETIME_FORMAT(DATEADD(TODAY(), 21, 'days'), 'YYYY-MM-DD'),
  ""&prefill_Take%20down%20QBO%20target%20date="",
  DATETIME_FORMAT(DATEADD(TODAY(), 21, 'days'), 'YYYY-MM-DD'),
  ""&prefill_Remove%20from%20Group%20Exemption%20target%20date="",
  DATETIME_FORMAT(DATEADD(TODAY(), 21, 'days'), 'YYYY-MM-DD'),
  ""&prefill_Remove%20from%20Gusto%20target%20date="",
  DATETIME_FORMAT(DATEADD(TODAY(), 21, 'days'), 'YYYY-MM-DD')
)
"
recR10YsT8SEjObWD,Schools,Fill in left network details,formula,"CONCATENATE(""https://airtable.com/appJBT9a4f3b7hWQ2/pagMYgs6MfU5hrxwa?J1vD3="",
RECORD_ID(),
""&hide_Schools=true"")
"
recPVPGKShVMUpmmD,Schools,Cohorts,multipleRecordLinks,Cohorts
recgiJ0902TbunWf4,Schools,Automation notes,multilineText,
rec2pOcGIjtFmz4zb,Charters,Charter key,formula,"IF({Short Name},{Short Name},IF({Initial target community},{Initial target community},{Non-TL roles}))"
recMZiaEVg91AjUxk,Charters,Initial target community,singleLineText,
recblkpGyMvwoHqs3,Charters,Application,multipleAttachments,
recnjRYZ0Yogfavuh,Charters,Status,singleSelect,"Applying, Application Submitted - Waiting , Approved -  Year 0, Open, Paused, Awaiting start of cohort"
recHFu4gHCrK8hiOd,Charters,Schools,multipleRecordLinks,Schools
rechefZueabEQp6Zt,Charters,Linked Schools,multipleLookupValues,
recijYL4OQyHoQkv3,Charters,Total Emerging Schools (from Schools),rollup,
recmIggFMhoOkLqZa,Charters,Total Open Schools (from Schools),rollup,
recVeiNnBrJtJTkiU,Charters,Group exemptions,singleLineText,
reciR7NE47AKP9wKY,Charters,990s,multipleRecordLinks,990s
recGvz7tQEfSS9Bfv,Charters,EIN,singleLineText,
recjJVzjtuyaVjgpO,Charters,School governance documents,multipleRecordLinks,Governance docs
recAnSNU1PKNucvZr,Charters,Nondiscrimination Policy on Website,checkbox,
recWoVRVbEZjESfsQ,Charters,GuideStar Listing Requested?,checkbox,
recDHru5LVVtXpR7s,Charters,School provided with 1023 recordkeeping requirements,checkbox,
reckGUTPqq7S3sedb,Charters,Date received group exemption,date,
rec6GckruX7Rws5aw,Charters,Group Exemption Status,singleSelect,"Active, Withdrawn, Issues"
recYHpC6nkhJMmLPy,Charters,Incorporation Date,date,
recyUSUSZNU85YGR0,Charters,Current FY end,singleSelect,"6/30, 12/31, 8/31, "
recGKJOnQfkyuH1VW,Charters,Schools copy,singleLineText,
recJnivcx2pfbqhtb,Charters,Schools copy,singleLineText,
rec82FKSCxTqYhGsa,Charters,Full name,singleLineText,
recZmyWo4kGPfxYHs,Locations,Location Key,formula,"{Address} & ""-"" & {Short Name}"
rec1uHWQ6r3tdMPz0,Locations,Square feet,number,
recqSYLzLlxIpIdQj,Locations,Max Students Licensed For,number,
rec78Hd6zwi5U0Hui,Locations,Neighborhood,singleLineText,
recwBZAyJAA0WqbFT,Locations,Address,richText,
recCneHNljMsVEMvh,Locations,School,multipleRecordLinks,Schools
recPQH5DkGQLP71Bx,Locations,Start of time at location,date,
recm2d911S4aaer6j,Locations,End of time at location,date,
rectSAQ6l1V9FME9H,Locations,Current mailing address?,checkbox,
recSFCyxWcBaSI4Tt,Locations,Latitude,number,
recwBruuC3BIFsk3j,Locations,Longitude,number,
recPmEzYxZ3DEBNMd,Locations,location_id,formula,RECORD_ID()
rectjcSA5pTguo9gX,Locations,City,singleLineText,
recfrRngiivceCeJv,Locations,State,singleLineText,
rec2nsWW89JXbhBoV,Locations,Country,singleLineText,
recv61Uko53gWTSsf,Locations,Street,singleLineText,
rechSy3BDHbVmL9gI,Locations,Postal code,singleLineText,
recykc8i4ERAXaxqZ,Locations,Created,createdTime,
reczp2uFcSXy2xC3t,Locations,Last Modified,lastModifiedTime,
recnpQA2qvziI7alp,Locations,Geocode Automation Last Run At,dateTime,
rec3aP3tCEsYrfv07,Locations,Location type,singleSelect,"Mailing address - no physical school, School address and mailing address, Physical address - does not receive mail"
recejc9XEbOongMMg,Locations,School Status (from School),multipleLookupValues,
recYu5prgSzYfWwBp,Locations,Current physical address?,checkbox,
recDNFYwKVioL4biZ,School Locations,Question,singleLineText,
recuNSdxjzNKUdIPj,Locations,Co-Location Type,singleSelect,"Church, Affordable Housing, Non Profit / Service Provider, Community Center, Shelter / Transitional Housing "
recpr8yJH4npsCEhB,Locations,Co-Location Partner ,singleLineText,
recMWQZyR4gAGvLnb,Locations,Qualified Low Income Census Tract,singleSelect,"YES, NO, Unknown"
recA9KzYaeSz5pxmM,Locations,Lease End Date,date,
recmn5rxRY02t7OnW,Locations,Lease,multipleAttachments,
recw2Zky5aevXElcL,Locations,Short Name,multipleLookupValues,
recVuT7jQTKFbP1r6,Locations,Time Zone,singleSelect,"Eastern Time (US & Canada), Central Time (US & Canada), Mountain Time (US & Canada), Pacific Time (US & Canada), Atlantic Time"
recQDwlOYIIqdTNiD,Locations,Census Tract,singleLineText,
rec1VBLYTuOyxY9LK,Locations,Inactive without end date; or active with end date,formula,"OR(AND(NOT(OR({Current mailing address?},{Current physical address?})),NOT({End of time at location})),AND(OR({Current mailing address?},{Current physical address?}),{End of time at location}))"
rechiEsruCA5jLRwP,Educators,Full Name,formula,"REGEX_REPLACE({First Name} & "" "" & {Middle Name} & "" "" & {Last Name}, ""\\s+"", "" "")"
recdfrZCRzjg0wj5v,Educators,First Name,singleLineText,
recI9OGwPmJvuWNPV,Educators,Middle Name,singleLineText,
rechQIXpn8QMZimWV,Educators,Last Name,singleLineText,
recDlJ8d5h0cJm9So,Educators,Assigned Partner,multipleRecordLinks,Partners
recvOG84leWfRBPgq,Educators,Discovery status,singleSelect,"Complete, In process, Paused"
reccwYCpGfpwbEcdq,Educators,Source,multipleRecordLinks,Marketing source options
recRVENkd1bhvWI3I,Educators,Source - other,multilineText,
recgNRYbBAz7pD5ZP,Educators,Educational Attainment,singleSelect,"Graduated high school or GED, Completed graduate school, Graduated college, Some college, Some graduate school, Did not graduate high school"
recTddyDWU65Xu9HJ,Educators,Assigned Partner Email,multipleLookupValues,
recJ2siFE69FkvcCt,Educators,Home Address,multilineText,
recjtQzUc3UZ3BtOY,Educators,TC User ID,singleLineText,
recni5s0WL2H6uKa3,Educators,Educators at Schools,multipleRecordLinks,Educators x Schools
recor6xrxesyU1del,Educators,All Schools,multipleLookupValues,
recp3Cv8XkhqqdzLf,Educators,Currently Active School,multipleLookupValues,
recLrBEMg3Abx81Ah,Educators,Current Role,multipleLookupValues,
rec5cvUCZRKbYBSeZ,Educators,Created,createdTime,
rec5wkzhQfTDOA6h5,Educators,Primary contact for,multipleRecordLinks,Schools
recHFgivIzbqpoNku,Educators,Holaspirit memberID,singleLineText,
rec1HIXHp0dYZ2nEy,Educators,Montessori lead guide trainings,multipleSelects,"AMI Infants and Toddlers, AMS (0-3), AMI Primary, AMS Early childhood, AMI Elementary, AMS Lower elementary, AMS Upper elementary, AMI Adolescent, AMS Lower secondary, AMS Upper secondary, Yes - type TBD"
rechYb2hCPyI0jys2,Educators,Educator notes,multipleRecordLinks,Educator notes
rec4i3WPvA63bmDfV,Educators,Active Holaspirit,checkbox,
recq3mIMCLStRs76r,Educators,Also a partner,checkbox,
recbj9qpyCtXXP7qZ,Educators,Nickname,singleLineText,
rec3dIAEjxXSAI1Op,Educators,Montessori Certifications,multipleRecordLinks,Montessori Certs
recXMHaqdFZX7cfux,Educators,Pronouns,singleSelect,"she/her/hers, he/him/his, other, they/them/theirs"
recjSFDPSNPbC7iB2,Educators,LGBTQIA,singleSelect,"TRUE, FALSE"
recAS2hd0hHL5GiAN,Educators,Gender,singleSelect,"Female, Male, Other, Gender Non-Conforming, Female/Woman, Male/Man, A not-listed or more specific gender identity"
recNfk9vjCPARUFRR,Educators,Income Background,singleSelect,"Middle Income, Lower Income, Upper Income"
recab7Xj5YC8BCmkP,Educators,Race & Ethnicity - Other,multilineText,
recCqNKEWmw48Ignd,Educators,Race & Ethnicity,multipleSelects,"White, Asian, Black, Latino, Native, MENA, Pacific Islander, Other"
rec5r5cveVdRyGCyc,Educators,Other languages,multipleSelects,"English, Spanish - EspañolSpanish, French - Français, Spanish - Español, Urdu - اُردُو, Japanese - 日本語, Mandarin - 中文, Arabic - العَرَبِيَّة, Hindi - हिन्दी, HungarianHungarian, Haitian Creole - Kreyol Ayisyen, Gujarati - ગુજરાતી, FujianFujian, Russian - русский язык, Korean - 한국어, Cantonese - Gwóngdūng wá, Tai-Kadai (including Thai and Lao) - ไทย / ພາສາລາວ, OtherHungarian, Portuguese - Português, Tami - தமிழ், Burmese - မြန်မာစာ, OtherYoruba"
